prox_angle,distal_angle
-0.6878103581229359,-0.26525447158002147
-0.6889505056638268,-0.2659106246820111
-0.6906417091812952,-0.2671785023816671
-0.6912604707376879,-0.2685429993566852
-0.6926776099773493,-0.2689660381308056
-0.6947317803163174,-0.26956239133699567
-0.6960034887455105,-0.270218422645734
-0.6970371487572817,-0.2718306651469055
-0.699110071134198,-0.2735193906592518
-0.7003419156881975,-0.27556761678649017
-0.7025529553683233,-0.27838726285259535
-0.7040794301283461,-0.27952442431705793
-0.705325237952054,-0.28259147784245886
-0.7070006817044484,-0.28403475982420007
-0.7081078919515381,-0.28506170140952625
-0.7097234765985106,-0.2874068010795115
-0.7113850262190147,-0.2883878196498986
-0.7125831102077804,-0.28996805075016147
-0.7141963929923321,-0.2933515131903717
-0.715322943981614,-0.29437946811955734
-0.7164283481608466,-0.29507237991288027
-0.717723287163596,-0.2962112062662415
-0.7190105263091928,-0.2979536590005358
-0.7201527320781731,-0.29997684994654866
-0.7220992827149442,-0.29924268756066424
-0.7239571243679918,-0.30285791198757056
-0.7250989417004123,-0.303921582715412
-0.72595262899015,-0.30417270880935754
-0.727063424928155,-0.3047212177900722
-0.7291854019612068,-0.3064055391312305
-0.7303982852264085,-0.3065393024748912
-0.7314230101068948,-0.3075058968799262
-0.7321031377071446,-0.30772973808778636
-0.7346231436233588,-0.31063339803937473
-0.7358578167012944,-0.31093099242202743
-0.736887232290981,-0.31214111043506065
-0.7389718536699558,-0.31477061876435924
-0.7395592657168344,-0.3156748793441194
-0.7406736659130785,-0.31657503832058165
-0.7430808657876661,-0.3204936414169001
-0.7445975966033943,-0.32393845138369287
-0.7458667180816028,-0.3252966680792419
-0.7465494445755758,-0.3269983707092891
-0.7473147920060842,-0.3308352209831199
-0.7484094871674396,-0.3317206164811846
-0.7504667921077042,-0.33453649661250323
-0.7513250768424395,-0.33566764704779345
-0.7528968603104965,-0.3397963147451908
-0.7548674530323111,-0.3429396633470212
-0.7553893893300644,-0.34328611292480693
-0.7580482306142604,-0.34824583982111484
-0.7588226466561665,-0.3500579311976451
-0.7601334250323621,-0.35177580038899015
-0.760987136172006,-0.3529108854471233
-0.7635522837953577,-0.3593814310216079
-0.7649936123792926,-0.3609734087113604
-0.7655760054169182,-0.36037458947980544
-0.7688040340275258,-0.37458716194700076
-0.7708511687806708,-0.37723885668666113
-0.7720623989353542,-0.37826905273849515
-0.7749479432606815,-0.3902581807896768
-0.7775271595805041,-0.39617433777581085
-0.7788979625655157,-0.396347017942778
-0.7801021637417362,-0.39867101645717673
-0.7809164916391343,-0.39990215275888946
-0.7820248533178799,-0.4009375371602701
-0.7833509904792529,-0.40315783235617775
-0.7838912658408946,-0.40755944815136075
-0.7853595377675369,-0.4099762645769923
-0.7857285567871638,-0.4126929745555124
-0.7882655609549105,-0.41448408371383966
-0.7903485528074435,-0.4223216381707844
-0.7908582339193689,-0.4223639340265273
